date,demand
2015-08-21,126570.47
2015-08-22,112275.15
2015-08-23,111793.015
2015-08-24,128868.255
2015-08-25,135051.545
2015-08-26,135914.68
2015-08-27,141159.77
2015-08-28,134755.505
2015-08-29,124448.5
2015-08-30,116744.215
2015-08-31,137724.895
2015-09-01,134116.77
2015-09-02,132794.715
2015-09-03,132096.335
2015-09-04,131384.88
2015-09-05,115799.32
2015-09-06,109641.375
2015-09-07,131619.365
2015-09-08,136340.7
2015-09-09,132977.45
2015-09-10,133541.98
2015-09-11,123968.9
2015-09-12,108790.005
2015-09-13,99161.765
2015-09-14,116574.17
2015-09-15,123750.5
2015-09-16,131795.485
2015-09-17,131050.675
2015-09-18,130764.585
2015-09-19,112377.185
2015-09-20,103708.925
2015-09-21,120096.71
2015-09-22,127755.095
2015-09-23,131866.73
2015-09-24,130937.625
2015-09-25,124278.93
2015-09-26,111064.49
2015-09-27,106431.815
2015-09-28,121796.715
2015-09-29,126691.8
2015-09-30,129641.245
2015-10-01,124356.415
2015-10-02,107544.145
2015-10-03,100598.55
2015-10-04,103828.88
2015-10-05,125194.87
2015-10-06,127225.245
2015-10-07,117282.765
2015-10-08,122121.325
2015-10-09,126989.905
2015-10-10,112604.825
2015-10-11,105376.335
2015-10-12,120916.215
2015-10-13,122830.38
2015-10-14,126919.195
2015-10-15,130260.37
2015-10-16,123985.97
2015-10-17,104916.345
2015-10-18,100812.04
2015-10-19,120795.0
2015-10-20,126655.49
2015-10-21,122368.885
2015-10-22,121471.64
2015-10-23,120420.7
2015-10-24,106813.03
2015-10-25,102279.745
2015-10-26,115297.34
2015-10-27,116619.57
2015-10-28,122887.41
2015-10-29,124222.935
2015-10-30,121256.97
2015-10-31,106353.44
2015-11-01,103629.645
2015-11-02,113791.75
2015-11-03,101793.035
2015-11-04,120177.945
2015-11-05,125985.465
2015-11-06,120505.585
2015-11-07,104269.79
2015-11-08,103793.085
2015-11-09,127234.72
2015-11-10,121617.28
2015-11-11,121566.645
2015-11-12,123775.16
2015-11-13,117078.585
2015-11-14,103646.635
2015-11-15,99761.81
2015-11-16,124557.225
2015-11-17,131442.2
2015-11-18,132353.755
2015-11-19,138118.705
2015-11-20,123412.685
2015-11-21,102647.905
2015-11-22,98621.62
